dam_name,restricted,year_completed,normal_storage,county,stream,downstream_town,town_distance,last_inspection_date,details,latitude,longitude
Mcphee Reservoir,FALSE,1985,381100,Montezuma,Dolores River,Slick Rock,40,01/01/2001,https://dwr.state.co.us/Tools/DamSafety/Details/710106,37.57668,-108.570573
Beaver Park,FALSE,1912,4746,Rio Grande,Beaver Creek,South Fork,6,05/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200102,37.596117,-106.666687
Walsenburg City Lake,FALSE,2019,600,Huerfano,Cucharas River,Walsenburg,2,09/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/160327,37.596678,-104.85723
Horseshoe Lake,FALSE,1961,2760,Huerfano,Cucharas River,Walsenburg,2,11/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/160112,37.605005,-104.848899
Martin Lake,FALSE,1910,3077,Huerfano,Cucharas River,Walsenburg,2,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/160218,37.606677,-104.83223
Alessi Flood Control Dam,FALSE,1970,104,Huerfano,Pictou Arroyo,Walsenburg,0,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/160125,37.625648,-104.796592
Two Buttes,TRUE,1908,22165,Baca,Two Butte Creek,Holly,58,11/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/670236,37.635929,-102.538116
Humphreys - Main Dam,FALSE,1926,842,Mineral,Goose Creek,South Fork,18,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200121,37.680285,-106.850295
Humphreys - Spillway Dam,FALSE,1926,842,Mineral,Goose Creek,South Fork,18,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200233,37.680439,-106.850865
Rio Grande,FALSE,1914,54082,Hinsdale,Rio Grande River,South Fork,47,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200137,37.720834,-107.266966
Groundhog,FALSE,1939,26640,Dolores,Groundhog Creek,Dolores,24,07/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/710107,37.790833,-108.290842
Santa Maria,FALSE,1911,43826,Mineral,Boulder Creek,South Fork,41,06/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200204,37.805935,-107.099947
Trout Lake,FALSE,1954,3422,San Miguel,Lake Fork,Telluride,14,08/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/600124,37.830001,-107.888899
Continental,FALSE,1927,22825,Hinsdale,North Clear Creek,South Fork,50,06/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200110,37.886713,-107.206449
Beckwith,FALSE,1911,1033,Pueblo,Greenhorn Creek,Colorado City,0,06/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/150101,37.945009,-104.862227
Miramonte,FALSE,1978,6851,San Miguel,West Naturita Creek,Norwood,11,09/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/600113,37.973336,-108.335573
Lake Isabel,FALSE,1936,760,Pueblo,St. Charles River,Lombard Village,40,07/19/2017,https://dwr.state.co.us/Tools/DamSafety/Details/150112,37.985006,-105.052233
Lone Cone,FALSE,1912,1840,San Miguel,Goshorn Creek,Norwood,17,07/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/600112,38.005004,-108.257226
Gurley,TRUE,1961,9000,San Miguel,Gurley Canyon,Norwood,12,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/600108,38.035009,-108.250571
John Martin,FALSE,1943,232942,Bent,Arkansas River,Caddoa,0,09/07/1995,https://dwr.state.co.us/Tools/DamSafety/Details/670215,38.054171,-102.929728
St. Charles #3,FALSE,1913,8638,Pueblo,Salt Creek,Pueblo,2,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/150111,38.170008,-104.65057
St. Charles #2,FALSE,1913,2700,Pueblo,Salt Creek,Pueblo,2,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/150110,38.181672,-104.642236
Deweese,FALSE,1903,4338,Custer,Grape Creek,Canon City,19,10/19/2018,https://dwr.state.co.us/Tools/DamSafety/Details/130103,38.210006,-105.452226
Florence South Res. No. 1,FALSE,1904,284,Fremont,Alkali Creek,Coal Creek,3,05/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120118,38.216673,-105.120574
Adobe Creek,FALSE,1904,81592,Bent,Adobe Creek,Las Animas,15,06/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/170101,38.235006,-103.280565
Ridgway,FALSE,1987,94126,Ouray,Uncompahgre River,Montrose,20,07/26/2017,https://dwr.state.co.us/Tools/DamSafety/Details/680114,38.236945,-107.758903
Silver Jack,FALSE,1971,13520,Gunnison,Cimarron River,Delta,59,07/23/2018,https://dwr.state.co.us/Tools/DamSafety/Details/620112,38.245004,-107.543902
Lake Henry,FALSE,1914,9500,Crowley,Horse Creek,Ordway,3,07/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/170203,38.248333,-103.713904
Pueblo,FALSE,1975,357678,Pueblo,Arkansas River,Pueblo,3,09/18/2017,https://dwr.state.co.us/Tools/DamSafety/Details/140133,38.268334,-104.736682
Florence South Res. No. 2,FALSE,,208,Fremont,First Alkali Creek,Florence,3.2,05/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120245,38.338352,-105.119208
Vouga,TRUE,1978,920,Saguache,Razor Creek,Gunnison,24,07/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/280109,38.355003,-106.663902
Dry Creek Flood Control,FALSE,1970,157,Fremont,Dry Creek,Florence,0,03/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120117,38.385009,-105.135566
Canon Wtrsd C-3,FALSE,1972,1141,Fremont,Sand Creek,Canon City,2,11/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/120114,38.413335,-105.223899
Canon Wtrshd. Det. C-4,FALSE,1972,207,Fremont,Arkansas River,Canon City,2,11/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/120115,38.415004,-105.232231
Buckeye #1,FALSE,1910,2483,Montrose,Buckeye Creek,Paradox,8,09/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/610101,38.438335,-109.045571
Cerro,FALSE,1966,675,Montrose,Uncompahgre River,Montrose,15,05/14/2019,https://dwr.state.co.us/Tools/DamSafety/Details/620105,38.445809,-107.637519
Teller,TRUE,1910,1290,El Paso,Turkey Creek,Pueblo,19,10/23/2018,https://dwr.state.co.us/Tools/DamSafety/Details/100440,38.450002,-104.833905
Morrow Point,FALSE,1968,117190,Montrose,Gunnison River,Delta,40,09/24/1997,https://dwr.state.co.us/Tools/DamSafety/Details/620111,38.451673,-107.54057
Blue Mesa,FALSE,1965,940800,Gunnison,Gunnison River,Montrose,35,09/23/1997,https://dwr.state.co.us/Tools/DamSafety/Details/620102,38.453352,-107.334401
Brush Hollow,FALSE,1922,3933,Fremont,Brush Hollow Creek,Pueblo,33,05/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120101,38.458336,-105.053902
Shavano Valley #1 - Sv-1,FALSE,1993,184,Montrose,Coal Creek,Delta,25,04/27/2016,https://dwr.state.co.us/Tools/DamSafety/Details/410203,38.461114,-108.001952
Shavano Valley #2 - Sv-2,FALSE,1996,269,Montrose,Uncompahgre,Olathe,6,04/27/2016,https://dwr.state.co.us/Tools/DamSafety/Details/410204,38.461116,-108.002227
Fairview,FALSE,1968,350,Montrose,"Uncompahgre River,Tr&Sp",Montrose,3,10/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/410106,38.477332,-107.778214
Crystal,FALSE,1977,26000,Montrose,Gunnison River,Delta,44,01/01/2010,https://dwr.state.co.us/Tools/DamSafety/Details/620106,38.510563,-107.623896
Boss Lake,FALSE,1894,190,Chaffee,"Middle Fork, South Ark.",Garfield,2,09/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/110105,38.556674,-106.32057
Onion Valley,FALSE,1954,9000,Montrose,Iron Creek,Crawford,5,09/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400421,38.603332,-107.593907
Roatcap Wash Watershed Rw-1,FALSE,1964,790,Montrose,"Uncompahgre River,Tr&Sp",Delta,13,07/12/2016,https://dwr.state.co.us/Tools/DamSafety/Details/410110,38.61168,-108.050569
Crawford,FALSE,1962,14395,Delta,Iron Creek,Crawford,1,08/02/2018,https://dwr.state.co.us/Tools/DamSafety/Details/400210,38.690068,-107.606913
Garnet Mesa,FALSE,1954,1333,Delta,Uncompahgre River,Delta,2,06/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/410107,38.715004,-108.040575
Fountain Valley No 2,FALSE,1910,3950,El Paso,Fountain Creek,Widefield,1,03/19/2018,https://dwr.state.co.us/Tools/DamSafety/Details/100128,38.748339,-104.700566
Spires Broadmoor South Debris Dam,FALSE,2005,5,El Paso,,,,09/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100458,38.749449,-104.844733
Spires Broadmoor North Debris Dam,FALSE,2005,10,El Paso,,Colorado Springs,0,09/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100457,38.752224,-104.844175
Fishers Canyon Debris Basin Dam,FALSE,1999,13,El Paso,Fishers Canyon Channel,Colorado Springs,0,09/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100455,38.755565,-104.856401
Fisher Canon,FALSE,1929,53,El Paso,Fishers Canyon,Colorado Springs,2,09/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100121,38.761674,-104.848896
Penrose,FALSE,1917,43,El Paso,Spring Run,Colorado Springs,0,05/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100231,38.775007,-104.85223
Mc Reynolds,FALSE,1903,2050,Teller,Middle Beaver Creek,Pueblo,39,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120107,38.776668,-105.008898
Stratton,FALSE,1919,88,El Paso,North Cheyenne Creek,Colorado Springs,,08/19/2015,https://dwr.state.co.us/Tools/DamSafety/Details/100459,38.778912,-104.988233
Mason,FALSE,1903,1965,Teller,Boehmer Creek,Pueblo,39,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/120106,38.780002,-105.013895
South Lake,FALSE,1973,319,El Paso,Fountain Creek,Colorado Springs,0,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100305,38.785004,-104.810575
Gold Camp,FALSE,1954,380,El Paso,North Cheyenne Creek,Colorado Springs,0,05/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100301,38.795002,-104.873895
Spring Run #2,FALSE,1970,311,El Paso,Spring Run,Colorado Springs,0,03/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100106,38.79501,-104.830574
South Suburban,FALSE,1932,231,El Paso,North Cheyenne Creek,Colorado Springs,0,05/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100213,38.796397,-104.863897
Trout Creek,FALSE,2001,645,Chaffee,Trout Creek,Nathrop,6,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/110233,38.805833,-106.087515
Lake Moraine,FALSE,1891,1250,El Paso,Ruxton Creek,Manitou Springs,4,08/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100208,38.815004,-104.993905
Taylor Park,FALSE,1937,106200,Gunnison,Taylor River,Gunnison,30,07/24/2018,https://dwr.state.co.us/Tools/DamSafety/Details/590109,38.818339,-106.607229
Beaver,FALSE,1958,1600,Gunnison,Minnesota Creek,Paonia,11,07/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400115,38.82155,-107.449081
Fruit Growers,FALSE,1938,4540,Delta,Dry Creek,Delta,10,03/15/2018,https://dwr.state.co.us/Tools/DamSafety/Details/400236,38.826735,-107.954906
Big Tooth,FALSE,1927,277,El Paso,South Ruxton Creek,Manitou Springs,2,08/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100302,38.829446,-104.970839
Spring Creek,FALSE,1961,1631,Gunnison,Taylor River Tr & Sp,Gunnison,28,08/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/590108,38.861038,-106.707096
Valley No. 2,TRUE,1906,126,El Paso,Camp Creek,Colorado Springs,0,04/18/2017,https://dwr.state.co.us/Tools/DamSafety/Details/100402,38.864723,-104.880296
Highline,FALSE,1938,55,El Paso,Monument Creek,Colorado Springs,2,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100137,38.871678,-104.862232
Valley No. 1,TRUE,1901,137,El Paso,Camp Creek,Colorado Springs,0,04/18/2017,https://dwr.state.co.us/Tools/DamSafety/Details/100309,38.872503,-104.875014
Manitou,FALSE,1971,700,El Paso,North Fork French Creek,Cascade,3,06/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100211,38.876679,-104.993623
Glen Eyrie #3,FALSE,1901,154,El Paso,Camp Creek,Colorado Springs,2,03/21/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100132,38.891675,-104.870564
Wagon Tongue,FALSE,1960,130,Park,Wagon Tongue Gulch,Lake George,6,09/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230210,38.905006,-105.398903
Eleven Mile Canyon,FALSE,1932,97800,Park,South Platte River,Lake George,6,05/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230115,38.905009,-105.477235
Crystal Creek,FALSE,1934,3479,El Paso,Crystal Creek,Green Mt Falls,1,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100116,38.920004,-105.0239
West #1,FALSE,1950,470,Delta,Jay Creek,Hotchkiss,8,10/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400538,38.92501,-107.732226
South Catamount,FALSE,1935,2604,Teller,South Catamount Creek,Green Mt Falls,1,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100111,38.926674,-105.048902
North Catamount,FALSE,1959,12300,Teller,North Catamount Creek,Green Mt Falls,1,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100110,38.930006,-105.052792
Paonia,FALSE,1962,20950,Gunnison,Muddy Creek,Somerset,7,07/03/2018,https://dwr.state.co.us/Tools/DamSafety/Details/400424,38.943339,-107.353899
Chapel Hills #2,FALSE,1984,120,El Paso,Monument,Colorado Springs,0,12/11/2018,https://dwr.state.co.us/Tools/DamSafety/Details/100407,38.950007,-104.780571
Carl Smith,FALSE,2000,920,Delta,Leroux Creek,Lazear,11,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400517,38.960866,-107.752194
Juniata,FALSE,1979,7281,Mesa,Kannah Creek,Whitewater,13,05/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/420128,38.967599,-108.285478
Regulating Reservoir,FALSE,1996,443,El Paso,West Monument Creek,Colorado Springs,6,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100452,38.968062,-104.894736
Hallenbeck #1,FALSE,1970,659,Mesa,Kahnah Creek,Whitewater,13,05/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/420125,38.969271,-108.293875
Kettle Creek,FALSE,1957,2700,El Paso,Kettle Creek,Colorado Springs,4,09/12/2018,https://dwr.state.co.us/Tools/DamSafety/Details/100313,38.971672,-104.807228
Spinney Mountain,FALSE,1982,53873,Park,South Platte River,Lake George,22,05/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230304,38.971679,-105.621955
Rampart,FALSE,1968,38783,El Paso,West Monument Creek,Colorado Springs,11,09/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100221,38.974727,-104.961117
Bruce Park,FALSE,1950,598,Delta,Hubbard Creek,Paonia,7,09/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400125,38.978705,-107.560739
Antero,FALSE,1909,44733,Park,S. Fork S. Platte River,Hartsel,5,08/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230102,38.988337,-105.895576
Big Battlement,TRUE,1949,780,Delta,Dirty George Creek,Cedaredge,12,10/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400112,38.995001,-108.052231
Hogchute,FALSE,1947,520,Mesa,Kannah Creek,Whitewater,23,08/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/420127,38.995009,-108.112238
Granby #12,FALSE,1949,664,Delta,Dirty George Creek,Cedaredge,12,08/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400306,38.998334,-108.042226
Granby #5-11,FALSE,1930,775,Delta,Dirty George Creek,Cedaredge,12,08/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400307,38.998337,-108.035565
Woodland Park,FALSE,1963,60,El Paso,Loy Gulch,Woodland Park,2,05/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080416,39.005568,-105.022785
Ward Creek,FALSE,1957,284,Delta,Ward Creek,Cedaredge,7,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400532,39.013337,-107.997235
Non-Potable Reservoir #2,FALSE,1958,336,El Paso,Monument,Colorado Springs,4,08/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100430,39.016678,-104.86723
Non-Potable Reservoir #3,FALSE,1958,156,El Paso,Monument,Colorado Springs,4,08/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100431,39.016678,-104.86723
Clear Creek,FALSE,1910,11500,Chaffee,Clear Creek,Buena Vista,15,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/110102,39.021674,-106.247233
Kiser Slough,FALSE,1952,490,Delta,Kiser Creek,Cedaredge,7,07/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400329,39.023303,-107.948423
Kennicott Slough,FALSE,1946,490,Delta,Kiser Creek,Cedaredge,7,07/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400327,39.027422,-107.95475
Deep Slough,FALSE,1965,523,Delta,Ward Creek,Cedaredge,9,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400213,39.028353,-107.992418
Ward Lake,TRUE,1958,1710,Delta,Ward Creek,Cedaredge,7,08/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400533,39.034276,-107.985218
Marcot Park,FALSE,1956,448,Delta,Surface Creek,Cedaredge,11,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400407,39.034615,-107.809218
Barren,FALSE,1886,759,Delta,Kiser Creek,Cedaredge,8,07/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400108,39.039353,-107.950338
Eggleston,FALSE,1949,2560,Delta,Kiser Creek,Cedaredge,9,07/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400224,39.039577,-107.94791
Somerville-Mccullah,FALSE,1972,947,Mesa,Whitewater Cr,Grand Junction,18,07/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/420306,39.041368,-108.21015
Hotel Lake Dam,FALSE,1953,549,Delta,Ward Creek,Cedaredge,9,07/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400318,39.043068,-107.965487
Park,FALSE,1940,3390,Delta,Surface Creek,Cedaredge,13,09/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400425,39.046672,-107.875572
Cedar Mesa,FALSE,1944,926,Delta,Surface Creek,Cedaredge,13,08/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400135,39.049358,-107.846531
Coon Creek #1,FALSE,1900,484,Mesa,Coon Creek,Mesa,10,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720119,39.062111,-108.057213
Weir And Johnson,FALSE,1974,567,Delta,Surface Creek,Cedaredge,13,09/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400536,39.066675,-107.830574
Leon Lake,FALSE,1898,2339,Mesa,Middle Leon Creek,Collbran,20,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720308,39.068396,-107.802225
Cottonwood #4,FALSE,1896,372,Mesa,Cottonwood Creek,Molina,10,08/10/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720124,39.075007,-107.952228
Cottonwood #1,FALSE,1894,1902,Mesa,Cottonwood Creek,Molina,9,08/10/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720122,39.075009,-107.97057
Bull Creek #4,FALSE,1901,425,Mesa,Bull Creek,Molina,9,08/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720115,39.076368,-108.037349
Overland #1,FALSE,1987,5828,Delta,Muddy Creek,Paonia,13,07/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/400422,39.078337,-107.645574
Big Creek #1,FALSE,1893,764,Mesa,Big Creek,Plateau City,13,08/07/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720103,39.080009,-107.8889
Grizzly,FALSE,1930,590,Pitkin,Lincoln Creek,Aspen,18,07/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380109,39.08001,-106.618896
Kitson,FALSE,1911,204,Mesa,Cottonwood Creek,Molina,9,08/08/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720206,39.08001,-107.953904
